"","date","ozone","temperature","relative_humidity","numdeaths"
"1468",2006-01-07,1.72891497612,2.04999995231628,91.5,153
"1469",2006-01-08,1.84250795841217,3.05625009536743,88.875,160
"1470",2006-01-09,5.23629760742188,5.42499971389771,90.3499984741211,172
"1471",2006-01-10,25.5082530975342,6.39375019073486,83.4749984741211,152
"1472",2006-01-11,23.7964973449707,7.58125019073486,75.5999984741211,153
"1473",2006-01-12,12.0180549621582,3.0625,84.4499969482422,162
"1474",2006-01-13,20.3412666320801,5.84999990463257,77.875,156
"1475",2006-01-14,20.8615913391113,7.59999990463257,87.0749969482422,148
"1476",2006-01-15,29.5513553619385,8.07499980926514,86.6999969482422,142
"1477",2006-01-16,28.7539196014404,7.40000009536743,89.0500030517578,149
"1478",2006-01-17,19.0193710327148,7.52500009536743,83.4749984741211,168
"1479",2006-01-18,8.37699222564697,8.84375,89.25,148
"1480",2006-01-19,22.3811283111572,9.61874961853027,89.0999984741211,152
"1481",2006-01-20,42.39990234375,8.55000019073486,68.4749984741211,149
"1482",2006-01-21,19.0257225036621,6.125,75.3000030517578,160
"1483",2006-01-22,10.2725639343262,2.79999995231628,80.0042877197266,138
"1484",2006-01-23,7.65581321716309,1.71875,74.7750015258789,148
"1485",2006-01-24,3.02658939361572,0.743750035762787,76.3249969482422,148
"1486",2006-01-25,14.7733278274536,1.52499997615814,79.6999969482422,167
"1487",2006-01-26,41.7586479187012,2.89374995231628,65.6999969482422,143
"1488",2006-01-27,35.6360282897949,2.48749995231628,66.25,137
"1489",2006-01-28,37.286319732666,2.76874995231628,65.625,156
"1490",2006-01-29,43.9937019348145,3.21250009536743,70.4250030517578,186
"1491",2006-01-30,45.958740234375,4.34999990463257,73,147
"1492",2006-01-31,27.3892383575439,4.26875019073486,78.0500030517578,159
"1493",2006-02-01,2.0540087223053,1.28125,83.125,160
"1494",2006-02-02,2.72026491165161,-0.71875,83.4749984741211,159
"1495",2006-02-03,2.27975702285767,0.143749997019768,87.3488235473633,147
"1496",2006-02-04,7.75154161453247,2.38124990463257,75.2750015258789,176
"1497",2006-02-05,3.80952501296997,4.56874990463257,83.6500015258789,135
"1498",2006-02-06,15.5370082855225,5.33750009536743,69.8499984741211,160
